City,Temperature,Count
New York City,39.67,5
Los Angeles,55.33,1
Chicago,39.67,0
Houston,73.0,1
Phoenix,52.33,2
Philadelphia,41.67,2
San Antonio,70.67,2
San Diego,56.67,2
Dallas,65.0,1
San Jose,48.33,0
Austin,69.67,1
Jacksonville,69.33,1
Fort Worth,64.33,1
Columbus,44.0,2
Charlotte,48.33,1
Indianapolis,42.0,1
San Francisco,50.0,5
Seattle,38.33,2
Denver,35.67,2
Washington,42.33,1
Nashville,54.0,3
Oklahoma City,55.67,0
Boston,36.0,1
El Paso,55.67,1
Portland,38.67,3
Las Vegas,44.67,0
Louisville,45.67,1
Memphis,57.33,1
Detroit,37.67,2
Baltimore,42.0,4
Milwaukee,37.0,5
Albuquerque,40.0,0
Fresno,50.0,1
Tucson,48.67,1
Sacramento,47.67,3
Kansas City,44.67,1
Mesa,50.67,2
Atlanta,56.0,2
Omaha,40.67,3
Colorado Springs,36.0,1
Raleigh,47.33,2
Long Beach,56.33,1
Virginia Beach,49.67,1
Miami,76.67,2
Oakland,50.0,6
Minneapolis,32.0,3
Tulsa,55.33,1
Bakersfield,49.0,3
Wichita,51.33,2
Arlington,65.0,0
Aurora,36.67,2
Tampa,73.0,1
New Orleans,69.33,1
Cleveland,40.0,2
Honolulu,74.67,3
Anaheim,55.33,5
Henderson,49.0,0
Lexington,46.33,1
Irvine,55.67,5
Stockton,48.67,2
Orlando,74.0,1
Corpus Christi,75.0,1
Newark,39.33,1
Riverside,50.33,1
Cincinnati,44.33,0
San Juan,89.33,3
Santa Ana,55.0,6
Greensboro,44.67,3
Pittsburgh,39.67,2
Jersey City,39.33,3
Lincoln,42.67,2
Durham,46.0,2
Anchorage,12.0,2
Plano,63.67,0
Chandler,51.0,0
Chula Vista,56.67,1
Buffalo,35.33,2
Gilbert,50.67,0
Madison,33.0,0
Reno,28.67,1
North Las Vegas,44.67,0
Toledo,38.67,1
Fort Wayne,39.33,1
Irving,65.0,1
Lubbock,58.0,4
Laredo,74.33,3
Chesapeake,49.33,1
Winston-Salem,45.67,2
Glendale,51.67,2
Garland,64.0,1
Scottsdale,51.0,2
Arlington,65.0,0
Enterprise,66.0,3
Boise,73.67,1
Santa Clarita,46.67,0
Norfolk,49.33,2
Fremont,49.0,2
Spokane,22.67,1
Richmond,44.33,0
Baton Rouge,68.33,1
